"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"Kevin McDermott (MIN)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"Andrew DePaola (OAK)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Hunter Henry (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47.9%"
"Stephen Anderson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Jerell Adams (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Moritz Bohringer (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Temarrick Hemingway (CAR)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"J.P. Holtz (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Alex Ellis (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"Dillon Gordon (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Cedrick Lang (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Cole Wick (TEN)","0","1","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"Garrett Griffin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jason Vander Laan (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Cole Hikutini (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Mason Schreck (CIN)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"Cethan Carter (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Darrell Daniels (ARI)","0","2","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"Keith Towbridge (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Evan Baylis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Pharaoh Brown (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Billy Brown (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Shane Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"Alex Gray (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Brandon Greene (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Troy Fumagalli (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"David Wells (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Andrew Vollert (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Marcus Baugh (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ethan Wolf (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Noah Fant (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.9%"
"Pharoah McKever (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tyler Conklin (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Cole Hunt (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kevin Radar (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Donnie Ernsberger (TB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"Tanner Hudson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Nate Wozniak (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Deon Yelder (KC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"Codey McElroy (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Christian Scotland-Williamson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Nick Keizer (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Paul Butler (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jaeden Graham (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Garrett Dickerson (NYG)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"T.J. Hockenson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.0%"
"Kaden Smith (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Tommy Sweeney (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Daniel Helm (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"C.J. Conrad (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Foster Moreau (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"Brandon Dillon (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kendall Blanton (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Josh Oliver (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"Drew Sample (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"Trevon Wesco (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Alize Mack (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Isaac Nauta (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Irv Smith Jr. (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"Caleb Wilson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Jace Sternberger (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"Dawson Knox (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"Dax Raymond (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kahale Warring (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"Zach Gentry (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Andrew Beck (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Stephen Carlson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Charles Scarff (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Trevor Wood (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Hale Hentges (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Michael Colubiale (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Austin Fort (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Donald Parham (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Nate Becker (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tyree Mayfield (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Drew Belcher (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Romello Brooker (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Keenan Brown (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Matt Sokol (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ellis Richardson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Cole Herdman (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Justin Johnson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ian Bunting (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Charles Jones (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Parker Hesse (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Chris Myarick (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
