"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Aaron Burbridge (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Mike Thomas (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"Tevin Jones (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Reece Horn (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Mose Frazier (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Kalif Raymond (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Max McCaffrey (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"K.J. Brent (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jaydon Mickens (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"Marken Michel (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jordan Williams-Lambert (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Duke Williams (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Tanner McEvoy (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"Chad Hansen (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Isaiah Ford (MIA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Amara Darboh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Malachi Dupre (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Mack Hollins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"Artavis Scott (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Robert Davis (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Krishawn Hogan (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Stacy Coley (FA)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"Cody Hollister (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Quincy Adeboyejo (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Bug Howard (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Trey Griffey (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Brendan Langley (DEN)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.1%"
"Tanner Gentry (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Brandon Reilly (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"C.J. Board (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Andre Patton (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Isaac Whitney (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Montay Crockett (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Reggie Davis (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Deante Burton (HOU)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"Carlton Agudosi (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Cyril Grayson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Greg Ward (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Lance Lenoir (DAL)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"Fred Brown (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kermit Whitfield (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Rashard Davis (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Justice Liggins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jaleel Scott (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Cedrick Wilson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Deon Cain (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"Jordan Lasley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Jester Weah (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Braxton Berrios (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"Simmie Cobbs Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
