"Rank","Player","Team","Points","Games","Avg"
"40","Ameer Abdullah","MIN","99.4","14","7.1"
"41","Tarik Cohen","CHI","91.6","16","5.7"
"42","Samaje Perine","WAS","86.5","13","6.7"
"43","Matt Forte","FA","83.4","12","7.0"
"44","Matt Breida","SF","82.5","16","5.2"
"45","Corey Clement","PHI","82.4","15","5.5"
"46","Marlon Mack","IND","82.3","14","5.9"
"47","Austin Ekeler","LAC","79.9","14","5.7"
"48","James White","NE","78.0","14","5.6"
"49","Rod Smith","NYG","73.4","13","5.6"
"50","Aaron Jones","GB","71.0","10","7.1"
"51","Wayne Gallman","NYG","70.9","13","5.5"
