"Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"Tavon Austin (DAL)","6","55","9.2","18","0","0","8","13","140","17.5","2","0","7","0.0","0.0","0.3%"
"Le'Veon Bell (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.7%"
"Andre Ellington (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"Carlin Isles (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jerick McKinnon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.5%"
"Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Senorise Perry (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Malcolm Johnson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Thomas Rawls (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"Paul Perkins (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"D.J. Foster (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Josh Ferguson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kenneth Farrow (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tra Carson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"Troymaine Pope (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Joe Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"Elijah Hood (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Brandon Wilson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.1%"
"Cethan Carter (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Matthew Dayes (NO)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"Khalfani Muhammad (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Donnel Pumphrey (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Dare Ogunbowale (TB)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"Shane Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"Patrick Ricard (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.2%"
"Trey Edmunds (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"Derrius Guice (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.2%"
"Myles Gaskin (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"Lavon Coleman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Bo Scarbrough (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Ralph Webb (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Quinton Flowers (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Nick Bawden (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Boston Scott (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.2%"
"Gregory Howell (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"Jordan Chunn (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ryan Nall (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Donnie Ernsberger (TB)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"Malik Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Reggie Bonnafon (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Chris Ezeala (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Elijah Wellman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Chris Warren III (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"Mark Thompson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Robert Martin (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Dalyn Dawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Damien Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.9%"
"David Montgomery (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43.0%"
"Justice Hill (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5%"
"Bryce Love (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"Josh Jacobs (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.6%"
"Devin Singletary (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.9%"
"Miles Sanders (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.9%"
"Elijah Holyfield (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"Jalin Moore (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Patrick Laird (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Travon McMillian (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Nick Brossette (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ty Johnson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"Dexter Williams (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"Qadree Ollison (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"Wes Hills (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ryquell Armstead (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
