"Rank","Player","Team","Position","Points","Games","Avg"
"430","Justin Hunter","FA","WR","8.3","5","1.7"
"431","Trevor Davis","GB","WR","8.3","15","0.6"
"432","Neal Sterling","KC","TE","8.2","5","1.6"
"433","Clive Walford","MIA","TE","8.0","6","1.3"
"434","Michael Floyd","BAL","WR","7.8","10","0.8"
"435","Breshad Perriman","TB","WR","7.7","11","0.7"
"436","Brian Quick","WAS","WR","7.6","6","1.3"
"437","Ross Travis","IND","TE","7.6","10","0.8"
"437","Lee Smith","BUF","TE","7.6","8","1.0"
"437","Nate Sudfeld","PHI","QB","7.6","1","7.6"
"438","Brandon Bolden","NE","RB","7.4","8","0.9"
"439","Tanner McEvoy","FA","WR","7.3","9","0.8"
"440","Brian Hill","ATL","RB","7.3","4","1.8"
"440","Jeremy Sprinkle","WAS","TE","7.3","3","2.4"
"441","Willie Snead","BAL","WR","7.2","8","0.9"
"442","Derek Carrier","OAK","TE","7.1","9","0.8"
"442","David Johnson","ARI","RB","7.1","1","7.1"
"442","Amara Darboh","SEA","WR","7.1","8","0.9"
"443","Sammie Coates","FA","WR","7.0","7","1.0"
"443","Brittan Golden","NYG","WR","7.0","9","0.8"
"443","Pharoh Cooper","ARI","WR","7.0","16","0.4"
"444","Leonte Carroo","FA","WR","6.9","4","1.7"
"445","Byron Marshall","WAS","RB","6.8","4","1.7"
"446","Bryce Treggs","FA","WR","6.5","6","1.1"
"446","Tre Madden","FA","RB","6.5","5","1.3"
"447","Jalston Fowler","FA","RB","6.4","3","2.1"
"447","Chad Williams","ARI","WR","6.4","5","1.3"
"448","Vince Mayle","LAC","WR","6.2","11","0.6"
"449","Derek Watt","LAC","RB","5.9","11","0.5"
"450","Alan Cross","FA","TE","5.8","5","1.2"
"451","Dwayne Washington","NO","RB","5.8","5","1.2"
"451","Ben Koyack","JAC","TE","5.8","6","1.0"
"452","Akeem Hunt","FA","RB","5.4","14","0.4"
"453","Sean Mannion","MIN","QB","5.3","5","1.1"
"453","Orson Charles","CLE","TE","5.3","3","1.8"
"454","Aaron Ripkowski","FA","RB","5.2","11","0.5"
"455","Tyler Ervin","BAL","RB","5.0","4","1.3"
"456","Joe Webb","HOU","QB","4.8","8","0.6"
"457","Marcus Murphy","BUF","RB","4.8","1","4.8"
"458","Jacob Hollister","SEA","TE","4.7","13","0.4"
"459","Markus Wheaton","FA","WR","4.6","7","0.7"
"459","Tyler Eifert","CIN","TE","4.6","2","2.3"
"460","Ifeanyi Momah","FA","TE","4.6","4","1.2"
"460","Sean McGrath","FA","TE","4.6","4","1.2"
"460","Michael Roberts","FA","TE","4.6","6","0.8"
"461","Jared Abbrederis","FA","WR","4.4","4","1.1"
"462","Michael Clark","FA","WR","4.1","2","2.1"
"462","Matthew Dayes","NO","RB","4.1","13","0.3"
"463","Mack Brown","FA","RB","4.0","3","1.3"
"464","Quan Bray","FA","WR","3.9","9","0.4"
"464","Blake Bell","KC","TE","3.9","3","1.3"
"465","James Develin","NE","RB","3.8","8","0.5"
"466","Will Tye","PHI","TE","3.8","2","1.9"
"466","Bernard Reedy","FA","WR","3.8","11","0.3"
"467","Randall Telfer","FA","TE","3.6","3","1.2"
"468","Tanner Gentry","CHI","WR","3.5","4","0.9"
"469","Fitzgerald Toussaint","FA","RB","3.4","3","1.1"
"470","Senorise Perry","BUF","RB","3.3","8","0.4"
"471","Noah Brown","DAL","WR","3.3","7","0.5"
"471","JoJo Natson","LAR","WR","3.3","7","0.5"
"472","Emanuel Byrd","FA","TE","3.1","1","3.1"
"472","Jay Prosch","FA","RB","3.1","6","0.5"
"473","Nick Williams","FA","WR","3.0","1","3.0"
"474","Cody Kessler","PHI","QB","2.9","3","1.0"
"475","Derrick Coleman","FA","RB","2.8","13","0.2"
